team,overall_expected_win_pct,games_played
Arizona Cardinals,0.39232734210305725,117
Atlanta Falcons,0.42245142199843416,116
Baltimore Ravens,0.6328674275850402,125
Buffalo Bills,0.6276259651914482,128
Carolina Panthers,0.34529590553945166,116
Chicago Bears,0.44268886313291533,118
Cincinnati Bengals,0.45420492685870506,122
Cleveland Browns,0.4658922534898365,119
Dallas Cowboys,0.5719698491958611,122
Denver Broncos,0.41143380416825637,117
Detroit Lions,0.43996841367240425,120
Green Bay Packers,0.5968407272781727,124
Houston Texans,0.44068340212465623,123
Indianapolis Colts,0.518174579205147,119
Jacksonville Jaguars,0.35724580757273544,118
Kansas City Chiefs,0.737164342570628,137
Las Vegas Raiders,0.404335711659015,117
Los Angeles Chargers,0.5051328090963679,120
Los Angeles Rams,0.5830038029334087,128
Miami Dolphins,0.4854970450323761,118
Minnesota Vikings,0.5513234967067538,120
New England Patriots,0.5136440607301065,121
New Orleans Saints,0.6024252952246513,121
New York Giants,0.34606016929992395,118
New York Jets,0.3302970146117009,116
Philadelphia Eagles,0.5729858448719931,128
Pittsburgh Steelers,0.5460466990451773,120
San Francisco 49ers,0.5781454917656335,128
Seattle Seahawks,0.5534517259674359,121
Tampa Bay Buccaneers,0.5545032469891064,126
Tennessee Titans,0.5147305697365784,121
Washington Commanders,0.4049175258450654,120
